overall,reviewText,summary,documents
1.0,great,One Star,['great']
4.0,"My  husband wanted to reading about the Negro Baseball and this a great addition to his library
 Our library doesn't haveinformation so this book is his start. Tthank you",... to reading about the Negro Baseball and this a great addition to his library Our library doesn't haveinformation so ...,"['husband', 'want', 'read', 'negro', 'baseball', 'great', 'addition', 'library', 'library', 'nt', 'haveinformation', 'book', 'start', 'tthank']"
4.0,"This book was very informative, covering all aspects of game.",Worth the Read,"['book', 'informative', 'cover', 'aspect', 'game']"
5.0,"I am already a baseball fan and knew a bit about the Negro leagues, but I learned a lot more reading this book.",Good Read,"['already', 'baseball', 'fan', 'know', 'bit', 'negro', 'league', 'learn', 'lot', 'read', 'book']"
5.0,"This was a good story of the Black leagues. I bought the book to teach in my high school reading class. I found it very informative and exciting. I would recommend to anyone interested in the history of the black leagues. It is well written, unlike a book of facts. The McKissack's continue to write good books for young audiences that can also be enjoyed by adults!","More than facts, a good story read!","['good', 'story', 'black', 'league', 'buy', 'book', 'teach', 'high', 'school', 'read', 'class', 'find', 'informative', 'exciting', 'would', 'mend', 'anyone', 'interested', 'history', 'black', 'league', 'well', 'write', 'unlike', 'book', 'fact', 'mckissack', 'continue', 'write', 'good', 'book', 'young', 'audience', 'also', 'enjoyed', 'adult']"
5.0,"Today I gave a book about the Negro Leagues of Baseball to a traveling friend. Its a book I've read more than once and felt that my friend would truly enjoy. It felt like giving a gift that you wanted to keep for yourself. I parted with the book knowing that my friend would enjoy reading it on his journey back east. Before giving him the book I spent about thirty minutes flipping through its pages and saying goodbye to some of the stories in it. I know I'll come across the book again, but for me, parting with books is like wishing a friend well on a journey, just as this friend of mine was journeying. Its great to send a visiting friend off with a friendly gift.

Well, in leafing through the book's pages I came across a few paragraphs I wanted to retain as a memory of my friend the book. Here below are the book and the lines from it that show in words what the negro baseball players faced every day of their lives; a color barrier that prevented them from gaining national sports recognition as professionals of the game they loved so much, baseball. Though Negro men had proven themselves heroic, capable of soldiering bravely in foreign battles of World War II, America was still treating them as second class citizens or less here at home. Major League Baseball would lead the nation in recovering from its racial prejudicial past. The nation today, even with a Black President, is still playing catch up.

excerpt from Black Diamond:  ""Only one thing is keeping them out of the big leagues, and that is the pigmentation of their skin."" Shirley Povich washington post",The Gift of Black Baseball,"['today', 'give', 'book', 'negro', 'league', 'baseball', 'travel', 'friend', 'book', 'read', 'feel', 'friend', 'would', 'truly', 'enjoy', 'feel', 'like', 'give', 'gift', 'want', 'keep', 'part', 'book', 'know', 'friend', 'would', 'enjoy', 'read', 'journey', 'back', 'east', 'give', 'book', 'spend', 'thirty', 'minute', 'flipping', 'page', 'say', 'goodbye', 'story', 'know', 'come', 'across', 'book', 'parting', 'book', 'like', 'wish', 'friend', 'well', 'journey', 'friend', 'mine', 'journey', 'great', 'send', 'visit', 'friend', 'friendly', 'gift', 'well', 'leafing', 'book', 'page', 'come', 'across', 'paragraph', 'want', 'retain', 'memory', 'friend', 'book', 'book', 'line', 'show', 'word', 'negro', 'baseball', 'player', 'face', 'every', 'day', 'life', 'color', 'barrier', 'prevent', 'gain', 'national', 'sport', 'recognition', 'professional', 'game', 'love', 'much', 'baseball', 'though', 'negro', 'man', 'prove', 'heroic', 'capable', 'soldier', 'bravely', 'foreign', 'battle', 'world', 'war', 'ii', 'america', 'still', 'treat', 'second', 'class', 'citizen', 'less', 'home', 'major', 'league', 'baseball', 'would', 'lead', 'nation', 'recover', 'racial', 'prejudicial', 'past', 'nation', 'today', 'even', 'black', 'president', 'still', 'play', 'catch', 'excerpt', 'black', 'diamond', 'one', 'thing', 'keep', 'big', 'league', 'pigmentation', 'skin', 'shirley', 'povich', 'washington', 'post']"
4.0,"The story of race relations in American history is one of lost opportunity.  This concise history of the Negro Baseball Leagues for young adult readers illustrates this basic point.  The book discusses the names, dates, and circumstances of the major figures and events of the flip side of American baseball history. Legendary names such as Josh Gibson, ""Cool Papa"" Bell, and Satchel Page are just a few of the remarkable players who made important contributions to the game.  Among others, they played for teams with names such as The Homestead Grays, The St. Louis Stars, and The Kansas City Monarchs.  The book also tells the story of owners and managers, such names as Negro National League founder Rube Foster and the tough as nails woman owner of the Newark Eagles, Effa Manley spring to mind.  The book also briefly explains how the infamous Jim Crow tradition brought about the Negro Baseball saga.  In 1947, major league baseball was sucessfully integrated and that spelled the doom of the Negro Baseball leagues.  The text includes an ample number of photographs.  To assist younger readers, and for easy reference purposes, a player profile and time line section is provided at the back of the book.  Underlying the historical text, there is the theme that segregated baseball mirrored the nagging problem of racism in America.  A sense of fair play and even-handed justice demands that talent, skill, and just plain style should be celebrated, regardless of race.  To do otherwise cheats everybody of a rewarding experience.  Imagine if the great players of the Negro Baseball Leagues had the chance to play (with or against) the great players of the major leagues.  Consider the void created by lost opportunity.  ;-)","Baseball, America, and racism.","['story', 'race', 'relation', 'american', 'history', 'one', 'lose', 'opportunity', 'concise', 'history', 'negro', 'baseball', 'league', 'young', 'adult', 'reader', 'illustrate', 'basic', 'point', 'book', 'discusse', 'name', 'date', 'circumstance', 'major', 'figure', 'event', 'flip', 'side', 'american', 'baseball', 'history', 'legendary', 'name', 'josh', 'gibson', 'cool', 'papa', 'bell', 'satchel', 'page', 'remarkable', 'player', 'make', 'important', 'contribution', 'game', 'among', 'other', 'play', 'team', 'name', 'homestead', 'grays', 'st', 'louis', 'star', 'kansas', 'city', 'monarchs', 'book', 'also', 'tell', 'story', 'owner', 'manager', 'name', 'negro', 'national', 'league', 'founder', 'rube', 'foster', 'tough', 'nail', 'woman', 'owner', 'newark', 'eagle', 'effa', 'manley', 'spring', 'mind', 'book', 'also', 'briefly', 'explain', 'infamous', 'jim', 'crow', 'tradition', 'bring', 'negro', 'baseball', 'saga', 'major', 'league', 'baseball', 'sucessfully', 'integrate', 'spell', 'doom', 'negro', 'baseball', 'league', 'text', 'include', 'ample', 'number', 'photograph', 'assist', 'young', 'reader', 'easy', 'reference', 'purpose', 'player', 'profile', 'time', 'line', 'section', 'provide', 'back', 'book', 'underlie', 'historical', 'text', 'theme', 'segregated', 'baseball', 'mirror', 'nag', 'problem', 'racism', 'america', 'sense', 'fair', 'play', 'evenhanded', 'justice', 'demand', 'talent', 'skill', 'plain', 'style', 'celebrate', 'regardless', 'race', 'otherwise', 'cheat', 'everybody', 'rewarding', 'experience', 'imagine', 'great', 'player', 'negro', 'baseball', 'league', 'chance', 'play', 'great', 'player', 'major', 'league', 'consider', 'void', 'create', 'lose', 'opportunity']"
1.0,I didn't like this product it smudged all under my eyes throughly the day,One Star,"['nt', 'like', 'product', 'smudge', 'eye', 'throughly', 'day']"
5.0,I simply love the product. I appreciate print feed back regarding my order,Five Stars,"['simply', 'love', 'product', 'appreciate', 'print', 'feed', 'back', 'regard', 'order']"
1.0,"it burns your eyes when u put it on  and very light so u have to keep going back n forth a lot to get the dark eyeliner color.
also it smudges lot. waste of money.",i do not recommend.,"['burns', 'eye', 'u', 'put', 'light', 'u', 'keep', 'go', 'back', 'n', 'forth', 'lot', 'get', 'dark', 'eyeliner', 'color', 'also', 'smudge', 'lot', 'waste', 'money']"
